x	y
-10.000	0.3146924
-9.93311	0.5015608
-9.86622	0.3905757
-9.799331	0.2757766
-9.732441	0.2005007
-9.665551	0.3328304
-9.598661	0.01969093
-9.531772	-0.0007240549
-9.464882	-0.00706929
-9.397992	-0.07120815
-9.331102	-0.1510471
-9.264213	-0.08174578
-9.197323	-0.231788
-9.130433	-0.1873206
-9.063543	-0.3943866
-8.996654	-0.4761499
-8.929764	-0.5482756
-8.862874	-0.4472522
-8.795984	-0.557475
-8.729095	-0.6550204
-8.662205	-0.7728038
-8.595315	-0.7464438
-8.528425	-0.824473
-8.461535	-0.7135834
-8.394646	-1.041243
-8.327756	-0.9972293
-8.260866	-0.9783716
-8.193976	-1.080796
-8.127087	-0.96483
-8.060197	-1.013175
-7.993307	-0.9775409
-7.926417	-1.03082
-7.859528	-0.9238877
-7.792638	-0.8420798
-7.725748	-0.90806
-7.658858	-0.8489717
-7.591969	-0.9004457
-7.525079	-1.033357
-7.458189	-0.9442283
-7.391299	-0.7517638
-7.324409	-0.8533821
-7.25752	-0.8729221
-7.19063	-0.8099148
-7.12374	-0.6355218
-7.05685	-0.5434079
-6.989961	-0.6288845
-6.923071	-0.6166868
-6.856181	-0.4865191
-6.789291	-0.4755293
-6.722402	-0.4673812
-6.655512	-0.2882728
-6.588622	-0.3247514
-6.521732	-0.2208398
-6.454843	-0.3519845
-6.387953	-0.2519162
-6.321063	-0.05816333
-6.254173	0.07762846
-6.187284	-0.06100676
-6.120394	0.1242911
-6.053504	0.07660592
-5.986614	0.2732316
-5.919724	0.3752135
-5.852835	0.5314652
-5.785945	0.5927001
-5.719055	0.5216926
-5.652165	0.4388361
-5.585276	0.5970174
-5.518386	0.591368
-5.451496	0.7611562
-5.384606	0.9575011
-5.317717	0.8641919
-5.250827	0.8792773
-5.183937	0.873578
-5.117047	0.8131093
-5.050158	1.003067
-4.983268	0.8263119
-4.916378	1.000547
-4.849488	1.120695
-4.782598	0.9738044
-4.715709	1.057837
-4.648819	0.9508821
-4.581929	0.9256037
-4.515039	1.097611
-4.44815	0.9588529
-4.38126	0.8293546
-4.31437	0.9041156
-4.24748	0.9708935
-4.180591	1.012549
-4.113701	0.8035629
-4.046811	0.7841546
-3.979922	0.8201471
-3.913032	0.6921622
-3.846143	0.7689001
-3.779253	0.7173292
-3.712363	0.5959073
-3.645474	0.5099273
-3.578584	0.4642249
-3.511695	0.3421507
-3.444805	0.3284945
-3.377916	0.2292162
-3.311026	0.1403852
-3.244137	-0.01564284
-3.177247	0.006562758
-3.110358	-0.002592273
-3.043468	-0.1847025
-2.976579	-0.1346197
-2.909689	-0.1679458
-2.8428	-0.3027946
-2.77591	-0.2279429
-2.709021	-0.4745829
-2.642131	-0.5315443
-2.575242	-0.6898912
-2.508352	-0.676414
-2.441463	-0.5792838
-2.374573	-0.5908517
-2.307683	-0.6889397
-2.240794	-0.7837261
-2.173904	-1.068806
-2.107015	-1.034792
-2.040125	-0.9739031
-1.973236	-0.8796685
-1.906346	-0.9737566
-1.839456	-1.057804
-1.772567	-1.228072
-1.705677	-0.8904986
-1.638788	-0.8859141
-1.571898	-0.9414069
-1.505008	-0.9809709
-1.438119	-1.123645
-1.371229	-1.062184
-1.304339	-0.9815565
-1.23745	-0.8189409
-1.17056	-1.018137
-1.10367	-0.9858132
-1.036781	-0.8778611
-0.9698911	-0.7433803
-0.9030014	-0.6407829
-0.8361118	-0.7324402
-0.7692221	-0.7431418
-0.7023325	-0.54905
-0.6354429	-0.3952668
-0.5685532	-0.4394243
-0.5016636	-0.554388
-0.4347739	-0.3272309
-0.3678843	-0.4563856
-0.3009946	-0.335351
-0.234105	-0.04101089
-0.1672154	-0.1345949
-0.1003257	-0.05609993
-0.03343612	0.1167652
0.03345351	-0.04061111
0.1003431	0.1323635
0.1672328	-0.003727928
0.2341224	0.143747
0.301012	0.3713017
0.3679017	0.3548501
0.4347913	0.5649187
0.501681	0.3763232
0.5685706	0.3316795
0.6354603	0.5937918
0.7023499	0.552135
0.7692395	0.7885202
0.8361292	0.7570842
0.9030188	0.9313069
0.9699085	0.942116
1.036798	0.7701706
1.103688	0.8942047
1.170577	0.8801328
1.237467	0.9477043
1.304357	0.8874785
1.371246	0.9826919
1.438136	1.105716
1.505026	0.9795188
1.571915	1.027186
1.638805	0.9675415
1.705695	1.10929
1.772584	0.986267
1.839474	0.7752824
1.906363	0.7890428
1.973253	1.001963
2.040143	0.8437697
2.107032	0.924228
2.173922	0.7945268
2.240811	0.7554874
2.307701	0.9449936
2.37459	0.6015571
2.44148	0.5087597
2.508369	0.6573811
2.575259	0.6245502
2.642148	0.6165653
2.709038	0.4758109
2.775928	0.2391598
2.842817	0.2762207
2.909707	0.1310489
2.976596	0.09470086
3.043486	0.09625532
3.110375	0.1266461
3.177265	0.001050759
3.244154	-0.1199437
3.311044	-0.2397229
3.377933	-0.1810639
3.444823	-0.3539921
3.511712	-0.3793332
3.578602	-0.3737023
3.645491	-0.4426345
3.712381	-0.5925707
3.77927	-0.5572387
3.84616	-0.7243639
3.913049	-0.6045673
3.979939	-0.6363193
4.046829	-0.8522134
4.113719	-1.00384
4.180608	-0.9947543
4.247498	-1.089158
4.314388	-0.966555
4.381278	-1.036155
4.448167	-0.9020551
4.515057	-0.9840451
4.581947	-0.971565
4.648837	-0.760419
4.715726	-1.127082
4.782616	-1.094668
4.849506	-1.006716
4.916396	-0.8898594
4.983285	-1.054432
5.050175	-0.8817365
5.117065	-0.9665827
5.183955	-0.8140659
5.250844	-0.9251913
5.317734	-0.8036531
5.384624	-0.8925918
5.451514	-0.7016768
5.518404	-0.5448077
5.585293	-0.6488776
5.652183	-0.6587884
5.719073	-0.3245174
5.785963	-0.303416
5.852852	-0.3411267
5.919742	-0.3172427
5.986632	-0.4449371
6.053522	-0.2772431
6.120411	-0.1954762
