x1	x2	y
0.755	0.174	1.70167236
0.691	0.042	1.366789098
0.235	0.103	0.588402986
0.087	0.314	0.357162624
0.493	0.012	0.957020587
0.297	0.058	0.667638064
0.397	0.037	0.81706636
0.465	-0.017	0.882324085
0.673	0.059	1.352708772
0.678	0.096	1.413267554
0.692	0.069	1.406225374
0.924	0.339	2.441497187
0.421	-0.003	0.823560128
0.799	0.216	1.877436999
0.536	0.02	1.040856209
0.62	0.053	1.237520787
0.432	0.042	0.880179069
0	0.454	0
0.131	0.311	0.460582221
0.096	0.307	0.377998668
0.477	-0.038	0.881928866
0.659	0.078	1.34887315
0.206	0.124	0.547396229
0.978	0.426	2.778678825
0.981	0.422	2.780779441
0.732	0.132	1.584641985
0.112	0.263	0.406120011
0.009	0.447	0.10299533
0.857	0.272	2.126399945
0.229	0.118	0.585024445
0.679	0.054	1.358387563
0.711	0.083	1.466755159
0.239	0.152	0.618653262
0.136	0.277	0.462621778
0.733	0.104	1.545907192
0.457	0.018	0.901318751
0.266	0.126	0.653539878
0.831	0.248	2.014329014
0.693	0.074	1.415279216
0.235	0.179	0.624122986
0.587	0.059	1.179994252
0.508	-0.031	0.939309187
0.144	0.232	0.467025319
0.875	0.234	2.110539347
0.725	0.056	1.458294318
0.665	0.075	1.357450322
0.787	0.169	1.772505205
0.034	0.462	0.216962889
0.979	0.463	2.854439288
0.152	0.215	0.478335774
0.696	0.105	1.464842145
0.716	0.143	1.563599832
0.996	0.51	3.005933996
0.849	0.25	2.06671296
0.254	0.077	0.607616127
0.597	-0.017	1.108768751
0.684	0.039	1.348250925
0.475	0.05	0.962327438
0.71	0.11	1.502914977
0.958	0.411	2.684014744
0.628	-0.012	1.17177651
0.575	0.053	1.149862544
0.728	0.123	1.56230116
0.484	-0.024	0.906725085
0.643	0.016	1.235897808
0.212	0.12	0.556258577
0.87	0.253	2.129857905
0.73	0.129	1.575640375
0.641	-0.01	1.198685756
0.395	0.01	0.792415254
0.387	-0.008	0.765670241
0.521	0.032	1.026588297
0.462	0.031	0.921793819
0.773	0.162	1.727185186
0.245	0.105	0.606449747
0.071	0.396	0.327731252
0.819	0.229	1.950849188
0.632	0.015	1.213368277
0.786	0.158	1.75273841
0.112	0.321	0.419112011
0.023	0.437	0.172288509
0.716	0.122	1.533527832
0.93	0.416	2.603025076
0.8	0.18	1.822427191
0.639	0.085	1.316325756
0.916	0.316	2.375046889
0.317	0.104	0.72945253
0.684	0.058	1.374242925
0.726	0.088	1.506908336
0.344	0.094	0.769523132
0.318	0.098	0.727366887
0.529	-0.035	0.970134862
0.825	0.246	1.994820106
0.84	0.258	2.055555139
0.287	0.101	0.676066809
0.253	0.171	0.653526054
0.347	0.012	0.717804059
0.427	-0.006	0.83065737
0.995	0.492	2.966601867
0.786	0.207	1.82976641
0.516	0.009	0.9938754
0.753	0.112	1.603436726
0.627	0.081	1.286536316
0.111	0.33	0.418747625
0.528	0.009	1.014924085
0.052	0.428	0.275251085
0.258	0.133	0.643129004
0.274	0.13	0.669766093
0.075	0.381	0.336636279
0.659	0.036	1.29351715
0.222	0.13	0.57817276
0.65	0.056	1.301525775
0.895	0.277	2.242899396
0.593	0.001	1.122899932
0.26	0.11	0.634701951
0.242	0.096	0.596962955
0.509	0.017	0.989829359
0.264	0.063	0.616769303
0.873	0.245	2.12424369
0.295	0.108	0.693884025
0.789	0.129	1.71433972
0.811	0.19	1.866456384
0.779	0.144	1.713802767
0.999	0.533	3.062434875
0.524	0.007	1.005790443
0.127	0.318	0.453271594
0.874	0.32	2.258115671
0.579	-0.004	1.091529495
0.634	0.067	1.283153169
0.074	0.395	0.33596541
0.614	0.001	1.161805521
0.535	-0.007	1.010171942
0.195	0.226	0.567753043
0.95	0.453	2.737879434
0.219	0.113	0.565429358
0.327	0.076	0.728472138
0.923	0.397	2.54551989
0.708	0.102	1.487123359
0.603	-0.017	1.119637746
0.277	0.145	0.683366895
0.275	0.112	0.661629424
0.987	0.475	2.905297737
0.44	0.02	0.874524958
0.976	0.483	2.883319123
0.833	0.266	2.049733337
0.466	0.041	0.938009927
0.27	0.105	0.649215242
0.97	0.475	2.84728578
0.113	0.254	0.406327726
0.579	-0.016	1.077633495
